Total signal evaluations on June 26: 210

Time (UTC)           | Coin | Sent | Sent Score | Conf   | Source          | Missed Reason        | Matched Event                                     
------------------------------------------------------------------------------------------------------------------------------------------------------
2026-06-26 00:05:16  | XRP  | DOWN | 0.5787     | 0.5787 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 00:10:17  | XRP  | UP   | 0.8092     | 0.8092 | EnsembleML      | N/A                  | XRP Up or Down - June 25, 8:10PM-8:15PM ET        
2026-06-26 00:25:17  | ETH  | DOWN | 0.8960     | 0.8960 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 00:40:05  | BTC  | UP   | 0.6699     | 0.6699 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 00:40:06  | XRP  | UP   | 0.8341     | 0.8341 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 00:50:24  | SOL  | DOWN | 0.6801     | 0.6801 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 00:50:24  | XRP  | DOWN | 0.8507     | 0.8507 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 00:55:32  | ETH  | UP   | 0.7264     | 0.7264 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 01:10:08  | XRP  | UP   | 0.8767     | 0.8767 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 01:10:09  | DOGE | UP   | 0.8000     | 0.8000 | EnsembleML      | N/A                  | Dogecoin Up or Down - June 25, 9:10PM-9:15PM ET   
2026-06-26 01:20:08  | BTC  | UP   | 0.6267     | 0.6267 | EnsembleML      | N/A                  | Bitcoin Up or Down - June 25, 9:20PM-9:25PM ET    
2026-06-26 01:20:09  | DOGE | UP   | 0.8000     | 0.8000 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 01:25:09  | DOGE | UP   | 0.8300     | 0.8300 | EnsembleML      | N/A                  | Dogecoin Up or Down - June 25, 9:25PM-9:30PM ET   
2026-06-26 01:25:39  | XRP  | UP   | 0.8500     | 0.8500 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 01:25:40  | BTC  | UP   | 0.8267     | 0.8267 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 01:30:08  | DOGE | UP   | 0.8000     | 0.8000 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 01:30:09  | BTC  | UP   | 0.8767     | 0.8767 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 01:30:10  | XRP  | UP   | 0.8500     | 0.8500 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 01:30:39  | ETH  | DOWN | 0.9651     | 0.9651 | EnsembleML      | N/A                  | Ethereum Up or Down - June 25, 9:30PM-9:35PM ET   
2026-06-26 01:35:09  | XRP  | UP   | 0.7467     | 0.7467 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 01:35:09  | DOGE | UP   | 0.8000     | 0.8000 | EnsembleML      | N/A                  | Dogecoin Up or Down - June 25, 9:35PM-9:40PM ET   
2026-06-26 01:35:09  | BTC  | UP   | 0.8767     | 0.8767 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 01:45:08  | DOGE | UP   | 0.6000     | 0.6000 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 01:45:09  | XRP  | UP   | 0.6767     | 0.6767 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 01:45:17  | BTC  | UP   | 0.6267     | 0.6267 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 01:55:16  | XRP  | UP   | 0.6267     | 0.6267 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 01:55:16  | ETH  | DOWN | 0.9095     | 0.9095 | EnsembleML      | N/A                  | Ethereum Up or Down - June 25, 9:55PM-10:00PM ET  
2026-06-26 02:15:09  | DOGE | DOWN | 1.0000     | 1.0000 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 02:15:11  | SOL  | DOWN | 1.0000     | 1.0000 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 02:15:11  | XRP  | DOWN | 1.0000     | 1.0000 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
2026-06-26 02:15:11  | ETH  | DOWN | 0.9700     | 0.9700 | EnsembleML      | NO_LIQUIDITY         | UNK                                               
