Total closed trades on June 26: 67

Entry (UTC)                | Exit (UTC)                 | Asset/TF/Strat                 | Dir  | Entry | Exit  | PnL     | Reason          | ID              | Title                                             
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
2026-06-26T00:10:17.498818+00:00 | 2026-06-26T00:15:09.204469+00:00 | [SINGLE][XRP][5m]              | YES  | 0.575 | 0.990 | +4.15 | TARGET_HIT      | UNKNOWN         | [UPDOWN][XRP][5m][SINGLE] XRP Up or Down - June 25, 8:10PM-8:15PM ET
2026-06-26T01:10:09.650110+00:00 | 2026-06-26T01:15:00.644490+00:00 | [SINGLE][DOGE][5m]             | YES  | 0.580 | 0.990 | +4.51 | TARGET_HIT      | UNKNOWN         | [UPDOWN][DOGE][5m][SINGLE] Dogecoin Up or Down - June 25, 9:10PM-9:15PM ET
2026-06-26T01:20:08.846740+00:00 | 2026-06-26T01:25:09.349601+00:00 | [SINGLE][BTC][5m]              | YES  | 0.575 | 0.010 | -7.34 | MARKET_EXPIRED  | UNKNOWN         | [UPDOWN][BTC][5m][SINGLE] Bitcoin Up or Down - June 25, 9:20PM-9:25PM ET
2026-06-26T01:25:08.990701+00:00 | 2026-06-26T01:30:08.750598+00:00 | [SINGLE][DOGE][5m]             | YES  | 0.555 | 0.010 | -4.91 | MARKET_EXPIRED  | UNKNOWN         | [UPDOWN][DOGE][5m][SINGLE] Dogecoin Up or Down - June 25, 9:25PM-9:30PM ET
2026-06-26T01:30:39.208161+00:00 | 2026-06-26T01:35:14.739296+00:00 | [SINGLE][ETH][5m]              | NO   | 0.485 | 0.990 | +10.60 | TARGET_HIT      | UNKNOWN         | [UPDOWN][ETH][5m][SINGLE] Ethereum Up or Down - June 25, 9:30PM-9:35PM ET
2026-06-26T01:35:09.130336+00:00 | 2026-06-26T01:40:06.369375+00:00 | [SINGLE][DOGE][5m]             | YES  | 0.520 | 0.990 | +2.82 | TARGET_HIT      | UNKNOWN         | [UPDOWN][DOGE][5m][SINGLE] Dogecoin Up or Down - June 25, 9:35PM-9:40PM ET
2026-06-26T01:55:16.685189+00:00 | 2026-06-26T01:59:40.861257+00:00 | [SINGLE][ETH][5m]              | NO   | 0.565 | 0.955 | +7.02 | TARGET_HIT      | UNKNOWN         | [UPDOWN][ETH][5m][SINGLE] Ethereum Up or Down - June 25, 9:55PM-10:00PM ET
2026-06-26T02:15:10.910551+00:00 | 2026-06-26T02:30:14.545638+00:00 | [FAIR_VAL][ETH][15m]           | NO   | 0.325 | 0.010 | -11.03 | MARKET_EXPIRED  | UNKNOWN         | [UPDOWN][ETH][15m][FAIR_VAL] Ethereum Up or Down - June 25, 10:15PM-10:30PM ET
2026-06-26T02:20:09.554956+00:00 | 2026-06-26T02:25:08.677195+00:00 | [FAIR_VAL][BTC][5m]            | NO   | 0.395 | 0.990 | +20.82 | TARGET_HIT      | UNKNOWN         | [UPDOWN][BTC][5m][FAIR_VAL] Bitcoin Up or Down - June 25, 10:20PM-10:25PM ET
2026-06-26T03:00:09.181652+00:00 | 2026-06-26T03:11:51.735064+00:00 | [SINGLE][BTC][15m]             | YES  | 0.565 | 0.990 | +8.92 | TARGET_HIT      | UNKNOWN         | [UPDOWN][BTC][15m][SINGLE] Bitcoin Up or Down - June 25, 11:00PM-11:15PM ET
